站點區域,站點名稱
中西區,延平郡王祠站
中西區,民生轉運站
中西區,赤嵌樓站
中西區,臺南市美術館
中西區,家庭教育中心站
中西區,臺灣文學館站
中西區,海安民族站
中西區,和意路站
中西區,海安正興站
仁德區,都會公園-文賢路站
仁德區,保安轉運站
仁德區,都會公園-文華路站
仁德區,嘉南藥理大學站
北區,和順公園站
北區,台南公園站(台南轉運站)
北區,臺南火車站前站
北區,大興公園站
北區,花園夜市站
北區,成大醫院站
北區,台南二中站
永康區,南大附中站
永康區,台南市立圖書館站
永康區,崑山科大站
永康區,永康火車站
安平區,臺南市政府站
安平區,安億停車場站
安平區,億載金城站
安平區,運河公園站
安平區,臺南市議會站
安平區,安平區公所站
安平區,林默娘公園站
安平區,漁光島站
安平區,水景公園站
安平區,安平遊憩碼頭站
安南區,臺史博館站
安南區,台江文化中心站
東區,衛生局站
東區,成大會館站
東區,巴克禮公園站
東區,東寧運動公園站
東區,馬雅各青年公園站
東區,裕文圖書館站
東區,小東公園站
東區,東寧裕農站
東區,虎尾寮市場站
東區,臺南火車站後站
東區,和平公園站
東區,崇明路站
東區,平實公園站
東區,德光公園站
南科,臺鐵南科站
南科,社區中心站
南科,南科管理局站
南科,南科健康生活館站
南科,霞客湖站
南科,台積電南科站
南區,水交社文化園區站
南區,體育園區站
南區,南區公所站
南區,萬年公園站
南區,鹽埕圖書館站
南區,水萍塭公園站
南區,日新國小站
南區,黃金海岸站
善化區,善化火車站
善化區,善化高中站
新化區,新化武德殿站
新市區,新市火車站
新營區,民治市政中心站
新營區,美術園區站
新營區,天鵝湖公園站
新營區,新營火車站(1)
新營區,新營高中站
新營區,新營火車站(2)
歸仁區,高鐵台南站
歸仁區,陽明交通大學(臺南校區)站
歸仁區,歸仁區公所站
